paper_idv, convert_time
2207.07944v2, 0.6529014110565186
2311.17048v3, 2.350694179534912
2404.06505v1, 6.684101104736328
2404.06503v1, 8.724817037582397
2404.06497v1, 0.2459726333618164
2212.08731v3, 10.543170928955078
2404.06501v1, 16.639829635620117
2404.06507v1, 17.231483459472656
2404.06494v1, 6.9260478019714355
2404.06509v1, 33.265050411224365
2404.06510v1, 35.64566135406494
2404.06514v1, 37.243387937545776
2404.06504v1, 37.68132257461548
2404.06512v1, 38.7403450012207
2404.06508v1, 44.70110201835632
2404.06496v1, 37.17911219596863
2211.15930v3, 13.196412086486816
2404.06506v1, 51.7321412563324
2404.06500v1, 51.70553398132324
2404.06495v1, 39.800915241241455
2207.00127v3, 46.308515787124634
2404.06488v1, 9.364463567733765
2310.00341v3, 25.452179670333862
2205.09064v4, 0.3025493621826172
2404.06491v1, 18.84457755088806
2404.06513v1, 76.77888035774231
2304.14515v3, 46.73244905471802
2303.12054v4, 46.30091595649719
2404.06492v1, 51.17052364349365
2311.09306v2, 35.2480902671814
2404.06511v1, 89.68523669242859
2404.06502v1, 90.10624861717224
2303.14780v3, 38.772276163101196
2404.06481v1, 11.311179399490356
1902.11151v3, 0.33185458183288574
2404.06493v1, 74.80813813209534
2404.06498v1, 93.555171251297
2404.06473v1, 0.42379045486450195
2404.06476v1, 11.812488079071045
2404.06484v1, 30.96889352798462
2210.17485v2, 48.91694974899292
2404.06489v1, 65.04736971855164
2404.03735v2, 16.08272671699524
2404.06486v1, 57.85488533973694
2404.06475v1, 23.548110008239746
2404.06487v1, 65.4572205543518
2404.06469v1, 11.075928926467896
2404.06490v1, 81.05148696899414
2404.06470v1, 14.761619806289673
2404.06477v1, 40.618189573287964
2404.06480v1, 46.266963481903076
2404.06485v1, 74.93854904174805
2312.04630v2, 28.767515659332275
2404.06466v1, 15.37213921546936
2404.06462v1, 0.3997344970703125
2404.06482v1, 60.43602681159973
2210.07218v2, 22.79427433013916
2404.06461v1, 4.6809258460998535
2404.06471v1, 52.179975509643555
2404.06474v1, 66.11689639091492
2404.06468v1, 50.32150888442993
2404.06458v1, 0.33349132537841797
2404.06463v1, 34.60399913787842
2404.06460v1, 31.28252673149109
2404.06479v1, 85.3383252620697
2307.01724v2, 19.23322606086731
2403.19521v2, 55.12247371673584
2404.04428v2, 72.2183723449707
2404.06452v1, 0.7049312591552734
2404.06457v1, 22.857763051986694
2309.09228v2, 28.78374218940735
2404.06478v1, 111.99987745285034
2311.16026v2, 82.62007665634155
2404.06459v1, 67.10891723632812
2404.06454v1, 33.50777053833008
2309.02454v2, 71.24842619895935
2404.06451v1, 32.63745832443237
2404.06446v1, 0.23164725303649902
2311.00646v2, 55.433940410614014
2404.06455v1, 53.15252733230591
2404.06450v1, 35.93325424194336
2404.04758v2, 0.2879800796508789
2404.06449v1, 22.281996726989746
2404.06444v1, 6.500774145126343
2312.08210v2, 44.410810470581055
2404.06447v1, 31.05056643486023
2404.06440v1, 0.25264549255371094
2404.06442v1, 15.205358982086182
2404.06453v1, 62.644726037979126
2308.04100v3, 56.76627540588379
2311.00044v3, 40.45206022262573
2404.06465v1, 133.41569805145264
2403.02408v2, 12.607084035873413
2403.06108v2, 14.418028831481934
2404.06456v1, 97.22637796401978
2404.06438v1, 0.33490896224975586
2404.06439v1, 23.047106504440308
2112.09617v2, 48.38178372383118
2404.06443v1, 46.867088317871094
2404.06448v1, 65.4548270702362
2110.12962v2, 33.814690828323364
2301.01946v3, 31.774709701538086
2304.06140v3, 157.71034288406372
2404.06437v1, 24.48285222053528
2105.12947v4, 0.29051733016967773
2403.03979v2, 64.62638640403748
2404.04613v2, 35.04090142250061
2404.06429v1, 1.3568851947784424
2404.06428v1, 0.33034420013427734
2404.06435v1, 23.735523223876953
2404.06427v1, 0.3119621276855469
2307.03108v3, 41.4818696975708
2404.06431v1, 21.119304656982422
2207.11954v2, 0.28490567207336426
2404.06464v1, 168.18816304206848
2402.07272v2, 38.403178453445435
2402.09217v3, 22.933194398880005
2404.06424v1, 0.35120224952697754
2404.06434v1, 38.29050898551941
2311.16221v2, 19.749675989151
2404.06441v1, 73.456862449646
2208.05956v3, 188.87331175804138
2404.06422v1, 10.97372817993164
2404.06432v1, 46.60706901550293
2404.05654v2, 22.147573709487915
2404.06417v1, 0.3775293827056885
2404.06418v1, 4.294484615325928
2404.06436v1, 59.20301842689514
2404.06423v1, 30.765974044799805
2404.05678v2, 39.05572175979614
2404.06420v1, 17.074736833572388
2402.01810v2, 22.102879524230957
2307.08956v4, 98.60380172729492
2404.06426v1, 61.959625005722046
2404.06445v1, 149.9431974887848
2404.06430v1, 78.38480925559998
2404.06412v1, 33.454190731048584
2404.06410v1, 0.2449204921722412
2404.06409v1, 0.4515399932861328
2404.06416v1, 45.36252474784851
2404.06425v1, 73.4886429309845
2404.06414v1, 42.01332139968872
2404.06406v1, 6.6331565380096436
2404.06421v1, 65.19648289680481
2404.06404v1, 4.549840211868286
2403.13280v2, 86.62425708770752
2312.03563v4, 0.2430744171142578
2404.06411v1, 32.83334159851074
2404.06415v1, 66.3185887336731
2404.06407v1, 29.29472041130066
2305.13033v3, 110.2505578994751
2404.06402v1, 17.557918071746826
2401.05963v2, 52.18036770820618
2402.10069v2, 9.028600931167603
2404.06405v1, 34.033912897109985
2309.06717v2, 88.19420766830444
2310.15958v4, 85.37480020523071
2202.05248v3, 47.05916380882263
2404.06413v1, 80.5408444404602
2312.09168v3, 16.51083779335022
2403.13964v2, 0.23507070541381836
2404.06395v1, 4.153111457824707
2404.06394v1, 0.2517712116241455
2306.03133v4, 20.363662481307983
2204.03330v2, 15.813071012496948
2404.06392v1, 0.6527724266052246
2401.16957v2, 13.971411943435669
2402.03117v2, 9.713946104049683
2308.04325v3, 47.15514612197876
1205.5266v7, 43.81414747238159
2404.06390v1, 8.237160682678223
2404.06393v1, 17.59419870376587
2401.16110v2, 15.983249187469482
2312.08462v2, 17.281811475753784
2404.06399v1, 48.97061562538147
2404.06400v1, 54.89054250717163
2404.06389v1, 28.166627645492554
2404.06385v1, 0.39759087562561035
2404.06397v1, 52.183119773864746
2404.06384v1, 0.29523158073425293
2403.13697v2, 0.2940356731414795
2404.06387v1, 22.49630618095398
2403.14247v2, 13.628645420074463
2404.06388v1, 38.23675799369812
2404.06386v1, 16.67065930366516
2404.06391v1, 58.58242702484131
2404.06379v1, 0.24533700942993164
2312.08062v2, 43.35616731643677
2404.06401v1, 101.35686564445496
2404.06396v1, 87.70642948150635
2404.06376v1, 7.346682071685791
2404.06382v1, 37.764225244522095
2308.05033v3, 0.41860127449035645
2404.06403v1, 132.038339138031
2404.06377v1, 23.135504007339478
2404.06419v1, 194.11935758590698
2404.06378v1, 37.305508613586426
2404.06372v1, 0.2903318405151367
2404.06381v1, 45.61087226867676
2403.20330v2, 16.294358253479004
2403.12295v2, 70.46503376960754
2403.04198v2, 0.43610191345214844
2404.06374v1, 33.74805021286011
2404.06375v1, 41.57753896713257
2305.06635v2, 74.31718301773071
2404.05683v2, 26.572846174240112
2311.06798v2, 12.217395544052124
2404.00706v3, 11.920137882232666
2404.06366v1, 5.015695333480835
2109.05735v4, 156.2694959640503
2404.06367v1, 27.202617645263672
2306.10472v3, 22.256354570388794
2107.13298v3, 211.1766288280487
2404.05576v2, 28.819427013397217
2404.06364v1, 8.051811456680298
2404.06371v1, 56.81230401992798
2403.00079v2, 0.4018728733062744
2309.05562v2, 0.4018888473510742
2404.06373v1, 74.08656477928162
2404.06383v1, 119.22258114814758
2404.01306v2, 13.92441177368164
2404.06362v1, 14.455989360809326
2112.12850v2, 13.906713485717773
2404.06358v1, 0.26760172843933105
2404.06360v1, 10.768697261810303
2404.06365v1, 40.92333984375
2302.13657v3, 86.5289363861084
2309.13287v4, 20.737172842025757
2304.08018v2, 94.8087306022644
2404.06353v1, 7.365428447723389
2403.17263v2, 164.98186087608337
2404.06357v1, 86.04771137237549
2404.06363v1, 106.14756059646606
2404.06356v1, 85.00759601593018
2404.06369v1, 136.86777448654175
2401.07273v2, 106.82411098480225
2404.06350v1, 18.889288425445557
2312.02925v3, 81.73065853118896
2404.04048v2, 0.39164066314697266
2404.06351v1, 25.850076913833618
1808.07380v5, 20.37389087677002
2404.06354v1, 104.29756903648376
2404.06352v1, 86.4358217716217
2404.06348v1, 8.228306293487549
2404.06355v1, 111.9929986000061
2107.12774v3, 0.2683696746826172
2404.03003v2, 131.06496453285217
2404.06347v1, 12.500653743743896
2404.06349v1, 17.911699056625366
2404.05042v2, 0.2804892063140869
2311.18705v2, 42.27769875526428
2404.06346v1, 24.020873546600342
2403.20035v2, 14.51138687133789
2404.06344v1, 23.857410430908203
2404.02815v2, 17.001420259475708
2310.05468v2, 65.00134229660034
2402.05683v2, 0.3040037155151367
2312.03856v2, 39.59726595878601
2312.01141v3, 41.538106203079224
2401.16640v2, 52.73555088043213
2303.03151v4, 24.72910976409912
2404.06345v1, 51.508973598480225
2404.06338v1, 12.543126583099365
2404.06342v1, 38.44206786155701
2312.03048v2, 0.5469491481781006
2404.06333v1, 0.25649523735046387
2312.16725v2, 53.43171834945679
2404.06332v1, 0.6885581016540527
2308.00293v2, 75.78548169136047
2404.06340v1, 79.58061146736145
2404.06336v1, 55.36735916137695
2404.06337v1, 62.355987310409546
2402.13166v3, 107.41030192375183
2404.06334v1, 67.67101216316223
2404.06361v1, 256.05374789237976
2402.18078v2, 40.885650634765625
2310.18106v2, 101.27734684944153
2306.03574v3, 0.2673649787902832
2404.06359v1, 275.7593774795532
2311.18731v3, 55.41490125656128
2404.06341v1, 138.8301603794098
2311.04818v4, 63.59408187866211
2306.13383v2, 108.79849314689636
2404.06325v1, 6.834573984146118
2404.06330v1, 48.138267517089844
