"filename", "language", "Ini", "Python", "YAML", "SQL", "Docker", "pip requirements", "toml", "XML", "JavaScript", "Perl", "CSS", "LaTeX", "HTML", "BibTeX", "BibTeX style", "TeX", "Makefile", "comment", "blank", "total"
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 6, 32
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/abstract.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 8, 2, 33
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/ack.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 2, 9
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/bg.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 425, 0, 0, 0, 0, 0, 3, 52, 480
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/bios.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/chen.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/datastats.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 48, 11, 89
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/duncan.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/elsarticle-num.bst", "BibTeX style", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1304, 0, 0, 42, 164, 1510
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/elsarticle.cls", "TeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1235, 0, 58, 89, 1382
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/eval.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 382, 0, 0, 0, 0, 0, 4, 58, 444
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/intro.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 19, 194
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/paper.bib", "BibTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1683, 0, 0, 0, 0, 159, 1842
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/paper.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 30, 34, 143
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/related.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 49, 19, 177
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/revisionreport.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 8, 20, 121
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/revisionreport_content.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 8, 72, 427
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/summ.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 9, 81
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/system.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 433, 0, 0, 0, 0, 0, 2, 71, 506
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/multiple_tex/threats.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 1, 17, 109
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/single_tex/main.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/single_tex/x_-a_a_0__touch_BOGUS___-gt_1/news.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/ancillary_files/single_tex/x_-a_a_0__touch_BOGUS___-gt_1/x_-a_a_0__touch_BOGUS___-gt_1/news.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/source/tests/config.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
